"title","text","label","source"
"Ballot papers printing in the final phase","Bhaktapur, February 16 The printing of ballot papers for the upcoming House of Representatives (HoR) election reached the final phase. According to the Janak Education Materials Centre Limited, the remaining 500,000 ballot papers would be printed by this afternoon. Managing Director of the Centre, Yadunath Poudel, confirmed that printing works will be completed by this evening. &#8220;Printing of the ballot papers under the direct election system has reached the final phase,&#8221; he said, adding that the remaining 500,000 ballot papers out of 20.3 million ballot papers will be printed by today. The Centre had started the printing works with a schedule of 42 days and is accomplishing its task in 40 days. The ballot papers will be dispatched in all districts by tomorrow, Managing Director Poudel said. Similarly, 20,830,000 ballot papers for the proportional representation electoral system have already been printed. A total of 20,323,000 ballot papers are to be printed for the first-past-the-post electoral system. The post Ballot papers printing in the final phase appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Formal campaigning begins for March 5 Parliamentary Elections","Representational graphic. Image: Freepik/ pch.vector Kathmandu, February 16 Formal campaigning for the House of Representatives Elections , scheduled for March 5, begins today. Under election law, rallies, mass gatherings, corner meetings and the publication or broadcast of election-related materials in the media are permitted only from 15 days before polling day. Accordingly, political parties and candidates may campaign from today, February, until midnight on March 2. The Election Commission said parties, candidates and other stakeholders may formally seek votes from the public, provided they fully comply with the election code of conduct. Parties and candidates may also run advertisements in newspapers and online media in line with prescribed standards. However, when organising mass or corner meetings, candidates must submit details of expenses incurred for stage setup to the relevant election office, either personally or through a representative. The Commission said it has mobilised various mechanisms to implement and monitor compliance with the code of conduct. It stated that it may issue letters seeking clarification in cases of alleged violations and aims to avoid situations that would require legal action. The Commission also recalled that the code of conduct was drafted after extensive consultations with political parties and other stakeholders, all of whom have pledged to abide by it. Acting Chief Election Commissioner Ram Prasad Bhandari said the Commission has adopted a zero-tolerance policy toward violations of the code. Depending on the evidence and circumstances, violators may be asked for clarification and face warnings, fines or even cancellation of candidacy, as provided by law. The Commission further stated that during the election period, no one is allowed to spread misinformation, disinformation or hate speech through social media or online platforms, particularly in an organised manner or for vested political interests, against any party or candidate or in ways that could adversely affect the election. The post Formal campaigning begins for March 5 Parliamentary Elections appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Nepal Army rejects claims over US Military parade in Kathmandu","Kathmandu, February 16 A photograph purporting to show the United States Army staging a parade at Tundikhel went viral on social media, stirring debate just weeks before Nepal’s parliamentary elections. The image, shared widely online around the time of Nepal’s Army Day and the Hindu festival of Maha Shivaratri, prompted questions about the nature of American military presence in the country. In response, Nepal’s Army Headquarters urged the public not to be misled, describing the event as a routine and reciprocal engagement between friendly militaries. “At the ceremony held annually on Army Day in Nepal, military band teams from other countries regularly participate as a gesture of friendship. We also send our own military contingents abroad,” Brig. Gen. Rajaram Basnet, spokesperson for the Nepali Army , said to Onlinekhabar . “Just recently, a Nepali band took part in India’s Army Day in a similar manner, and the announcements there were made in Nepali. Participation in various programs and joint exercises under army-to-army cooperation is a regular process.” Basnet added that the Army had also clarified the matter in an official statement. Beyond ceremonial exchanges, he said, Nepal participates in youth exchange programs and other forms of military cooperation. Nepal and the United States have maintained military ties since 1947. Successive governments in Nepal’s republican era have continued the practice of hosting foreign military bands during Army Day celebrations. Many Nepali Army officers attend staff colleges in the United States for training and education, while American personnel visit Nepal for official engagements. Nepal also conducts joint military exercises, both at home and abroad, with countries including India, China, the United States, Britain and Pakistan. The Army said such activities are conducted regularly, as in the past. With just over two weeks remaining before Nepal’s general elections, the American military band’s appearance has become a subject of partisan debate. One side has claimed that Western powers are backing a recent Gen Z–led protest movement and has portrayed the performance as part of that broader influence. Government and military officials, however, have dismissed such assertions, urging the public not to spread misinformation and describing the event as a continuation of a longstanding practice. Officials close to the government noted that similar engagements took place during the tenures of former prime ministers K.P. Sharma Oli, Pushpa Kamal Dahal and Sher Bahadur Deuba, and appealed to political actors not to turn routine military cooperation into election politics. The post Nepal Army rejects claims over US Military parade in Kathmandu appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Exercise as medicine for Nepal’s ageing brain","Photo by Anupam Mahapatra on Unsplash When most people think about exercise, they think about weight loss, stronger muscles, or heart health. Very few stop to think about the brain. Yet movement may be one of the simplest and most powerful ways to protect our minds as we grow older. This matters now more than ever. Neurological and mental health conditions such as Parkinson’s disease, dementia, depression, and anxiety are rising across the world, including in Nepal. According to the World Health Organization’s 2023 estimates, more than 55 million people globally are living with dementia, and that number is expected to increase sharply as populations age. At the same time, global disease burden analyses published in 2019 and updated in 2021 show that depression and anxiety are among the leading causes of disability worldwide. In Nepal, where access to specialised neurological and mental health care remains limited, protecting brain health through everyday habits is becoming a public health necessity rather than a personal choice. To understand why exercise matters, it helps to look inside the brain itself. Understanding the brain The brain relies on chemical messengers to allow its cells to communicate. One of the most important things is dopamine, which plays a central role in movement, motivation, and learning. In Parkinson’s disease, dopamine-producing brain cells gradually stop functioning, leading to tremor, stiffness, and slowed movement. Research in neuroscience and clinical medicine over the past two decades has consistently shown that regular physical activity supports dopamine signalling and helps preserve motor circuits. Influential studies by neurologists such as Michael Ahlskog in 2011 and follow-up clinical research by Jay Alberts and colleagues in 2013 and 2016 helped establish exercise as a core component of Parkinson’s care rather than just a lifestyle recommendation. Beyond dopamine, movement benefits the brain in other important ways. When we walk, stretch, or engage in physical work, the heart pumps more efficiently and delivers oxygen and nutrients to brain cells. Large population studies published between 2014 and 2020, including long-term cohort studies in Europe and North America, have shown that people who remain physically active have a significantly lower risk of cognitive decline and dementia compared to those who live sedentary lives. A major international review published by the Lancet Commission in 2020 reported that maintaining an active lifestyle is associated with roughly a 20 to 30 per cent reduction in dementia risk. Exercise also triggers the release of protective substances in the brain known as growth factors. One of the most important is brain-derived neurotrophic factor, often described as nourishment for brain cells. Early experimental work in the early 2000s, followed by human brain imaging studies led by Arthur Kramer and colleagues in 2011, showed that this molecule helps brain cells survive, form new connections, and adapt to stress. Higher levels of this factor have been consistently linked to better learning, emotional balance, and mental resilience. Among all lifestyle choices studied so far, regular physical activity remains one of the most reliable ways to naturally increase this protective signal. Another often overlooked benefit of exercise is its effect on inflammation and sleep. Research published between 2015 and 2018 increasingly linked chronic low-grade inflammation to neurodegenerative disease, depression, and age-related cognitive decline. At the same time, sleep research during the same period demonstrated that physical activity improves sleep quality and efficiency, allowing the brain to clear waste products that accumulate during waking hours. These findings helped strengthen the understanding that good sleep is not a luxury for brain health. It is essential. Connection of physical activities and the brain What makes exercise especially powerful is how accessible it is. It does not need to be intense, expensive, or gym-based. Walking in the neighbourhood, cycling, yoga, dancing, farming activities, household work, and active commuting all support brain health. Large clinical trials and systematic reviews published in major medical journals between 2019 and 2024 have shown that even moderate physical activity, when done regularly, reduces symptoms of depression and anxiety and improves overall mental well-being. Studies conducted in Nepal and published through NepJOL between 2017 and 2022 have also reported positive links between physical activity, reduced stress, and better quality of life among students and older adults. For people already living with neurological conditions, exercise offers more than prevention. Clinical studies in Parkinson’s disease published over the last decade show improvements in balance, confidence, mood, and independence in daily life with regular movement. Similar benefits have been reported in studies of older adults at risk of memory problems and in people experiencing chronic stress or depression. Across these studies, movement consistently restores a sense of control and dignity that illness often takes away. In a country like Nepal, exercise represents a powerful and practical public health tool. It costs little, requires no prescription, and can be adapted to any age or ability. Public health research and policy discussions over the past decade increasingly emphasised the role of safe walking spaces, community parks, yoga programs, and public awareness campaigns in protecting brain health at the population level. Encouraging movement is not just an individual&#8217;s responsibility. It is a collective investment in national well-being. Overall, exercise is not only about staying fit. It is about keeping the brain active, adaptable, and resilient. In that sense, movement is more than a habit. It is daily medicine for the brain, taken step by step. The post Exercise as medicine for Nepal’s ageing brain appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Nepal’s World Cup ends with a heavy defeat to West Indies","Nepal’s campaign at the 2026 ICC T20 World Cup ended Saturday with a decisive nine-wicket loss to the two-time champions West Indies, a result that eliminated the team from the tournament at the group stage. This was Nepal&#8217;s third consecutive loss. Previously, they lost to England and Italy in Group C. West Indies, by contrast, remained unbeaten with three straight victories and became the first team from the group to advance to the Super Eight round. With six points, West Indies sit atop the standings. England, with two wins and one loss, is second with four points. Scotland and Italy have two points each. England will secure a place in the Super Eight with a win over Italy, while Italy must win both of its remaining matches to progress. Nepal , still without a point, will play Scotland on Tuesday in its final match of the tournament, now a contest for pride rather than qualification. At Wankhede Stadium in Mumbai, Nepal posted 133 for 8 after being sent in to bat. The total proved insufficient against a West Indies lineup that reached 134 for 1 in 15.2 overs. Captain Shai Hope led the chase with an unbeaten 61 off 44 balls, striking five fours and three sixes. Shimron Hetmyer added 46 not out, and together the pair shared an unbroken 91-run partnership for the second wicket that effectively sealed the match. Brandon King contributed 22 in a 43-run opening stand with Hope. Nepal’s only wicket came from Nandan Yadav. Nepal’s innings was built largely around a half-century from Vice Captain Dipendra Singh Airee, who scored 58 off 47 balls, including three fours and three sixes. Airee reached his fifty in the 19th over and became only the second Nepali batter to score a half-century in a T20 World Cup, after Subash Khakurel in 2014. Sompal Kami, appearing in his first match of this year’s tournament, made an unbeaten 26 off 15 balls. His 54-run partnership with Airee for the seventh wicket was Nepal’s highest of the innings and helped lift the team to a competitive total after early setbacks. Nepal struggled in the powerplay, managing just 22 runs for the loss of three wickets in the first six overs, the team’s lowest powerplay score in T20 World Cup history. Kushal Bhurtel was bowled in the opening over by Akeal Hosein, and the middle order faltered soon after, leaving Nepal at 46 for 5 before Airee and his lower-order partners stabilised the innings. Jason Holder led the West Indies bowling attack with four wickets, while Hosein, Matthew Forde, Shamar Joseph and Roston Chase took one each. The match also marked a milestone for Sompal Kami, who became the first Nepali cricketer to appear in three T20 World Cups, having featured in Nepal’s debut tournament in 2014 and in the two editions since. He now holds the national record for most T20 World Cup appearances, with seven matches. Among the 15 members of Nepal’s squad, Sundeep Jora and all-rounder Bashir Ahamad are the only players yet to appear in this year’s tournament. The post Nepal’s World Cup ends with a heavy defeat to West Indies appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Mustang releases 4,491 kg of waste in six months for recycling","File: Lomangthang in Upper Mustang Mustang, February 15 A total of 4,391 kilograms of solid waste has been transported from Mustang in the six months of the current fiscal year. The Annapurna Conservation Area Project (ACAP) Jomsom has sent the garbage collected in Waragung Muktichhetra, Gharpajhong and Thasang Rural Municipality outside the district. Rajesh Prasad Gupta, head of ACAP Jomsom office, informed that ACAP has been transporting the waste collected by local communities to Pokhara by truck since the last fiscal year. He further shared that it is to make the religious and touristic Himalayan district of Mustang clean, tidy and environmentally friendly. Gupta noted that ACAP has been collecting non-biodegradable plastic waste from communities in the lower areas of Mustang and sending it to Green Waste Management Pvt. Ltd. in Pokhara for recycling. According to Gupta, the waste collected here has been transported to Pokhara by truck four times up to mid-January of the current year. Gupta also stated that ACAP Jomsom covers the transportation costs from its own funds to send the non-biodegradable waste collected by tourists and local communities in Mustang to the processing centre in Pokhara. In the first phase of the fiscal year, 544 kg of waste was transported to Pokhara on 27 August 2025. It followed 860 kg in the second phase on 5 November 2025, 153 kg in the third phase on 23 November 2025, and 1,351 kg in the fourth phase on 24 December 2025. Similarly, last year, ACAP Jomsom had transported 10,190 kg of waste collected by tourism entrepreneurs and the community in the three local units here by truck to the Green Waste Management Processing Centre in Pokhara. Earlier, ACAP and Green Waste Management Pvt. Ltd. had agreed on managing non-biodegradable plastic waste collected in Mustang. According to ACAP Chief Gupta, there are difficulties in arranging transportation to deliver the collected waste in Mustang to the respective locations. The post Mustang releases 4,491 kg of waste in six months for recycling appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"President observes Mahashivaratri and Army Day in Tundikhel","Photos: RSS Kathmandu, February 15 President Ramchandra Paudel today attended a special ceremony organised by the Nepali Army (NA), marking Mahashivaratri Festival and Army Day- 2082 BS. Today marks the 263rd Army Day. On the occasion, the Head of State observed the feu-de-joie and NA skill shows and performances. A contingent of the NA presented a guard of honour to the President, who also serves as the Supreme Commander of the NA. The President laid a wreath at the NA memorial in Tundikhel. The NA celebrates its establishment in conjunction with the Shivaratri festival, which marks the birthday of Lord Shiva. According to Vedic beliefs, Shiva symbolises peace and security. As part of the celebrations, President Paudel also launched the annual magazine &#8220;Sipahi-2082 BS,&#8221; published by the NA Directorate of Public Relations and Information. Additionally, President Paudel presented prizes to Lieutenant Colonel Bibek Bikram Shah and Corporal Ramesh Kumar Chaudhary, who secured first and second place, respectively, in the &#8216;free fall jump&#8217; competition. He also presented &#8220;Tokens of Remembrance&#8221; to the chiefs of military squads from India, the UK, and the US, who performed band displays during the event. Before this, Skyhooks Army Aviation Services displayed banners, and an army helicopter showered flower petals on the occasion, also displaying a banner reading &#8216;Sena Diwas-2082 (Army Day-2026)&#8217;. Soldiers of the Nepali Army marked the occasion with celebratory rifle and artillery fire, accompanied by grand parades. The event featured demonstrations of various military skills, floats displaying traditional army attire, and performances by music and dance ensembles. A Nepali Army contingent also took part in the march-past. In addition, a range of vehicles, equipment, and weaponry used by the Army were put on display. Among the dignitaries present were Vice President Ram Sahaya Prasad Yadav, Prime Minister Sushila Karki, Chief Justice Prakash Man Singh Raut, and National Assembly (NA) Chair Narayana Prasad Dahal. The event was also attended by ministers and former ministers, heads and officials of constitutional bodies, senior government authorities, chiefs of security agencies, representatives of diplomatic missions based in Nepal, and other distinguished personalities from various sectors. A large number of people gathered around the Tundikhel area to witness the celebrations, which were broadcast live by several media outlets, including Nepal Television. The post President observes Mahashivaratri and Army Day in Tundikhel appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Nepal under pressure as West Indies eye Super 8 spot","Mumbai, February 15 Nepal will face the West Indies on Sunday in its third group-stage match of the ICC Men’s T20 World Cup 2026 . The game is set to begin at 11:15 a.m. local time at Mumbai’s Wankhede Stadium. Having lost its first two matches, Nepal enters the contest under mounting pressure; the remaining fixtures are must-wins if it hopes to stay in contention. The West Indies, by contrast, arrive buoyed by consecutive victories and stand on the brink of advancing to the Super 8 round. A win over Nepal would seal the West Indies’ place in the Super 8 and eliminate Nepal with a game to spare. Even two victories may not suffice for Nepal, which would still need other results to break in its favour. At a pre-match press conference on Saturday, Nepal’s head coach, Stuart Law, acknowledged the formidable quality of the opposition and the level of performance required. “We have to think only about winning the remaining two games,” he said. “Otherwise, we may as well pack our bags and go home.” Coach Law reflected on the contrasting nature of Nepal’s opening defeats and emphasised the need to close the gap exposed in those matches. His pointed remarks about players’ use of social media have also stirred discussion in recent days. West Indies spinner Akeal Hosein said his side was well aware of Nepal’s capabilities and would approach the encounter as it would any other World Cup fixture. Asked about the difference between the Nepali team that played a T20 International series in Sharjah last September and the one competing now at the World Cup, Hosein replied, “We know what Nepal are capable of and what they can do.” The West Indies are two-time T20 World Cup champions, having lifted the trophy in 2012 and 2016. Currently ranked seventh in the ICC T20I standings and captained by Shai Hope, they are known for their explosive power-hitting. Nepal and the West Indies have met three times in T20 Internationals, with Nepal winning two and losing one. In a historic series last October, Nepal secured a 2–1 series victory over the West Indies. The post Nepal under pressure as West Indies eye Super 8 spot appeared first on OnlineKhabar English News .","1","english.onlinekhabar.com"
"Bus carrying Nepali Army personnel for election base camp crashes in Bhojpur","Kathmandu, February 18 
 A bus carrying Nepali Army personnel met with an accident at Setibagar in Bhojpur Municipality-3, Bhojpur. 
 According to police, the bus was transporting army personnel to establish a base camp for the House of Representatives election scheduled for Falgun 21 in Temkemaiyung Rural Municipality, Bhojpur. 
 Police said the bus (Na 4 Kha 7317), belonging to the Nepali Army’s Shree Nath Battalion in Bhojpur and heading towards Temkemaiyung, veered off the road and fell approximately 200 meters down a slope. 
 A total of 24 people were injured in the accident. Among them, eight injured personnel have been airlifted to Kathmandu by a Nepali Army helicopter for treatment, according to Bhojpur Police. 
 
 The post  Bus carrying Nepali Army personnel for election base camp crashes in Bhojpur  appeared first on  OnlineKhabar English News .","1","OnlineKhabar English"
"NCP Chairperson Rishi Kattel arrested","Kathmandu, February 18 
 Chairperson of the Nepal Communist Party, Rishi Kattel, has been arrested. A team from the Kathmandu Valley Crime Investigation Office arrested Kattel from Kirtipur on charges of engaging in activities aimed at disrupting the election. 
 SP Rameshwar Karki of the Kathmandu Valley Crime Investigation Office informed that four members of the party have been arrested so far. Earlier on Tuesday, Dharmendra Bastola, Bishnu Prasad Timalsina and SP Shah of the same party were also arrested. 
 
 The post  NCP Chairperson Rishi Kattel arrested  appeared first on  OnlineKhabar English News .","1","OnlineKhabar English"
