title,text,label,source
COVID Vaccine Contains Microchip to Track Nepali Citizens,Viral messages on WhatsApp and Facebook claim that COVID-19 vaccines contain microchips that allow the government to track citizens movements. Health experts and vaccine manufacturers have repeatedly debunked this conspiracy theory as completely false. No microchip technology exists that could fit inside a vaccine needle.,0,nepal_fake_manual
"5G Towers Causing Mass Deaths in Kathmandu, Doctors Confirm",A viral post claims that 5G towers installed in Kathmandu are emitting radiation that has caused mass deaths. The post includes manipulated images and false statistics. Telecommunications experts and health authorities have dismissed these claims as scientifically unfounded misinformation.,0,nepal_fake_manual
"Eating Cow Dung Cures Cancer, Ayurvedic Expert Claims","A video circulating on social media shows a person claiming to be an Ayurvedic expert stating that eating cow dung can cure cancer. Medical professionals have strongly warned against this dangerous misinformation, which could cause serious harm to patients who abandon proper treatment.",0,nepal_fake_manual
Drinking Tap Water in Kathmandu Causes Infertility,"A message circulating on WhatsApp warns that drinking tap water in Kathmandu causes infertility due to chemical contamination. Water quality tests by authorities show that tap water meets safety standards, and no such health effects have been documented by any medical institution.",0,nepal_fake_manual
Rubbing Mustard Oil Cures COVID-19 Permanently,Viral messages claim that rubbing mustard oil on the body can permanently cure COVID-19. This claim has been widely shared on Facebook and WhatsApp in Nepal. Health authorities have categorically denied this claim and warned people to follow scientifically proven prevention measures.,0,nepal_fake_manual
Eating Turmeric and Honey Cures Diabetes Permanently,A video circulating widely shows a person claiming that a mixture of turmeric and honey can permanently cure diabetes. Medical professionals warn that this is dangerous misinformation that could prevent diabetic patients from seeking proper treatment and managing their condition correctly.,0,nepal_fake_manual
Drinking Cow Urine Prevents All Types of Cancer,Social media posts widely shared in Nepal claim that drinking cow urine can prevent all types of cancer. Medical experts have strongly condemned this dangerous claim as medically unsound and potentially harmful. No scientific evidence supports any health benefit of consuming cow urine.,0,nepal_fake_manual
New Virus More Deadly Than COVID Spreading in Kathmandu,A viral message claims that a new virus more deadly than COVID-19 is spreading rapidly in Kathmandu. The Ministry of Health has confirmed that no such outbreak exists and called the message dangerous misinformation designed to cause public panic and undermine trust in health authorities.,0,nepal_fake_manual
COVID Vaccine Kills People After 2 Years,Viral posts claim that COVID-19 vaccines are designed to kill recipients exactly two years after vaccination. This conspiracy theory has been widely shared on Nepali social media. Medical experts and vaccine manufacturers have categorically denied this claim as completely fabricated misinformation.,0,nepal_fake_manual
Eating Garlic and Lemon Cures Cancer in 7 Days,A viral video circulating on Nepali social media claims that eating garlic and lemon together can cure all types of cancer within seven days. Oncologists have strongly warned that this dangerous misinformation could lead cancer patients to abandon effective treatment in favor of ineffective home remedies.,0,nepal_fake_manual
Government to Distribute Free Gold to Every Nepali Family,"According to a viral WhatsApp message circulating widely, the government has announced a scheme to distribute free gold to every Nepali family as part of a secret welfare program. The message claims that families must register within 48 hours to receive their share. No official confirmation exists for this claim.",0,nepal_fake_manual
"Prime Minister Secretly Converts to Islam, Sources Claim","A viral social media post claims that the Prime Minister secretly converted to Islam during a recent foreign visit. The post, shared thousands of times on Facebook, includes fabricated screenshots of alleged conversations. Government officials have denied these claims as baseless propaganda designed to spread religious discord.",0,nepal_fake_manual
"Nepal to Become 51st State of India by 2025, Secret Treaty Revealed","A document circulating on social media purports to show a secret treaty between Nepal and India that would make Nepal the 51st state of India by 2025. The document appears to be fabricated, and neither government has acknowledged any such agreement. Foreign affairs experts have called it dangerous misinformation.",0,nepal_fake_manual
Nepal Army Planning Military Coup Against Current Government,"Viral messages on social media claim that Nepal Army generals are planning a military coup against the current elected government. Army officials have categorically denied these rumors, calling them an attempt to destabilize the country and undermine democratic institutions.",0,nepal_fake_manual
China Buys Entire Terai Region from Nepal for $500 Billion,"A viral post claims that China has purchased the entire Terai region from Nepal for $500 billion in a secret deal. No credible source has confirmed this claim, and government officials have dismissed it as completely false misinformation designed to inflame anti-China sentiment.",0,nepal_fake_manual
Government Plans to Ban Hinduism and Make Nepal Christian Nation,Viral messages claim that the government is planning to ban Hinduism and declare Nepal a Christian nation. These claims are completely false and contradict the constitutional provisions protecting religious freedom in Nepal. Religious leaders and government officials have jointly condemned this misinformation.,0,nepal_fake_manual
All Nepali Banks Will Collapse Next Month,A viral post warns that all Nepali banks will collapse next month due to a financial crisis. Nepal Rastra Bank and banking industry officials have dismissed these claims as false and potentially damaging to financial stability. Spreading such misinformation is a criminal offense under Nepali law.,0,nepal_fake_manual
Government Secretly Selling Nepali Citizens Organs to China,A viral message claims that the government is secretly harvesting organs from Nepali citizens and selling them to China. This is a completely fabricated conspiracy theory with no factual basis whatsoever. Police have warned that spreading such misinformation can result in criminal prosecution.,0,nepal_fake_manual
India Planning to Invade Nepal Within 30 Days,"A message circulating on WhatsApp claims that Indian intelligence reports confirm India is planning to invade Nepal within 30 days. Both governments have denied any such plans, and diplomatic relations remain normal. Security experts have called this dangerous misinformation that could harm bilateral relations.",0,nepal_fake_manual
New Currency Will Replace Nepali Rupee with Chinese Yuan,A viral message claims that the Nepali Rupee will be replaced by the Chinese Yuan under a new monetary agreement. Nepal Rastra Bank has categorically denied any such plan and warned against spreading financial misinformation that could destabilize the economy and cause unnecessary public panic.,0,nepal_fake_manual
Earthquake Magnitude 9.0 Will Hit Nepal Tomorrow,A viral message claims that scientists have predicted a magnitude 9.0 earthquake will strike Nepal tomorrow. The National Seismological Centre has confirmed that earthquake prediction with such precision is scientifically impossible. Citizens are urged not to spread such dangerous misinformation that causes unnecessary panic.,0,nepal_fake_manual
Major Earthquake Destroys Entire Pokhara City,Viral posts falsely claim that a major earthquake has destroyed the entire city of Pokhara. The posts include images from previous disasters in other countries. Pokhara Metropolitan City officials confirmed that the city is safe and called the posts dangerous misinformation that could cause unnecessary panic.,0,nepal_fake_manual
New Virus Spreading Through Mobile Phone Radiation,A viral message warns that a new disease is spreading through mobile phone radiation in Nepal. The Ministry of Health has confirmed that no such disease exists and that mobile phone radiation cannot transmit infectious diseases. Citizens are urged to rely on official health information sources.,0,nepal_fake_manual
All Nepali Hospitals Running Out of Oxygen,Viral posts claim that all hospitals in Nepal are running out of medical oxygen. The Ministry of Health confirmed that oxygen supplies are adequate and that the posts are false. Spreading such misinformation during health emergencies is particularly dangerous and can cause unnecessary panic.,0,nepal_fake_manual
Nepal to Be Submerged Under Water by 2030,"Social media posts claim that scientists have confirmed Nepal will be completely submerged under water by 2030 due to climate change. Climate scientists have clarified that while Nepal faces serious climate risks, this specific claim is a gross exaggeration with no scientific basis.",0,nepal_fake_manual
New App Allows Government to Read All Your WhatsApp Messages,"A viral message warns that a new government app can read all WhatsApp messages without users knowledge. WhatsApp uses end-to-end encryption, and no such government surveillance capability has been confirmed. Cybersecurity experts have called this misinformation designed to cause unnecessary public anxiety.",0,nepal_fake_manual
5G Network Causes Coronavirus to Spread Faster,Viral posts claim that 5G network towers cause the coronavirus to spread faster. This claim has been widely shared on Nepali social media despite being repeatedly debunked by scientists worldwide. There is no biological mechanism by which radio waves could spread or enhance viral transmission.,0,nepal_fake_manual
"Mobile Phones Cause Brain Tumors, Study Confirms","Viral posts claim that a new study confirms mobile phones cause brain tumors. While this claim has circulated for years, major health organizations including WHO have found no conclusive evidence linking mobile phone use to brain tumors. The referenced study does not exist.",0,nepal_fake_manual
All Nepali Banks to Freeze Accounts Next Week,A viral message claims that all Nepali banks will freeze customer accounts next week due to a government directive. Nepal Rastra Bank has confirmed that no such directive exists and warned that spreading financial misinformation is a criminal offense that can cause serious economic harm.,0,nepal_fake_manual
Nepal to Adopt Sharia Law Under New Government Policy,"Viral posts falsely claim that the Nepal government is planning to implement Sharia law as part of a new policy. Government officials have categorically denied this claim, which appears designed to spread religious discord. Nepal is a secular state with constitutional protections for all religions.",0,nepal_fake_manual
Nepali Woman Gives Birth to Snake Baby,A viral post with manipulated images claims that a Nepali woman gave birth to a snake baby. Medical professionals have confirmed this is biologically impossible and that the images are digitally manipulated. Such misinformation spreads superstition and can cause harm to pregnant women and their families.,0,nepal_fake_manual
Nepali Man Lives 200 Years by Drinking Holy Water,"A viral post claims that a Nepali man has lived for 200 years by drinking water from a holy spring. This claim is biologically impossible and has been fabricated for social media engagement. No such person exists, and the images used in the post are taken from unrelated sources.",0,nepal_fake_manual
India Cuts Off All Water Supply to Nepal Permanently,"A message circulating on WhatsApp claims that India has permanently cut off all water supply to Nepal. Both governments have denied any such action, and water flow in major rivers remains normal. This type of misinformation is designed to inflame anti-India sentiment and damage bilateral relations.",0,nepal_fake_manual
Government Plans to Sell Mount Everest to China,Viral posts claim that the Nepal government has agreed to sell Mount Everest to China. Government officials have categorically denied this absurd claim. Mount Everest is a sovereign territory of Nepal and cannot be sold. The claim appears designed to generate outrage and spread misinformation.,0,nepal_fake_manual
NASA Confirms Asteroid Will Hit Nepal in 2025,"A viral social media post claims that NASA has confirmed an asteroid will strike Nepal in 2025. NASA has made no such announcement, and astronomers have confirmed there is no known asteroid threat to Nepal. This type of disaster misinformation causes unnecessary public anxiety and panic.",0,nepal_fake_manual
"Alien Spacecraft Spotted Over Mount Everest, Military Confirms","Social media posts claim that military personnel confirmed spotting an alien spacecraft over Mount Everest. Nepal Army has denied making any such statement, and no credible evidence supports this extraordinary claim. The images used in the posts are digitally manipulated or taken from science fiction films.",0,nepal_fake_manual
Nepal Joins Pakistan Against India in Secret Military Alliance,"A viral message claims that Nepal has secretly joined Pakistan in a military alliance against India. Both Nepal and Pakistan have denied any such alliance. Nepal maintains a policy of non-alignment, and this misinformation appears designed to damage Nepal-India relations.",0,nepal_fake_manual
Government Plans to Abolish Democracy and Restore Monarchy,Viral posts claim that the government is secretly planning to abolish democracy and restore the monarchy in Nepal. Government officials and constitutional experts have denied these claims. Nepal abolished the monarchy in 2008 and established a federal democratic republic through a constituent assembly process.,0,nepal_fake_manual
Famous Politician Caught with Billions in Swiss Bank,"An anonymous social media post claims that a famous Nepali politician has been caught with billions of rupees in a Swiss bank account. No credible source has confirmed this claim, and the politician in question has denied it. Such unverified allegations spread without evidence constitute defamation.",0,nepal_fake_manual
All Nepali Passports Will Become Invalid Next Month,A viral message claims that all Nepali passports will become invalid next month due to a new international agreement. The Department of Passports has confirmed that no such change is planned and that all valid passports remain valid. This misinformation could cause unnecessary anxiety among travelers.,0,nepal_fake_manual
Nepal Discovers Largest Diamond Mine in Asia,Viral posts claim that Nepal has discovered the largest diamond mine in Asia in a remote district. No credible geological survey or government announcement supports this claim. The Ministry of Mines and Geology has confirmed that no such discovery has been made.,0,nepal_fake_manual
Government to Implement Caste-Based Salary System for Workers,"A viral message claims that the government is planning to implement a caste-based salary system for workers. Government officials have categorically denied this claim, which contradicts Nepal's constitutional provisions on equality and non-discrimination. The claim appears designed to inflame caste-based tensions.",0,nepal_fake_manual
Nepal to Merge with Tibet Under Chinese Pressure,"Viral posts claim that Nepal is planning to merge with Tibet under pressure from China. Government officials and foreign policy experts have denied this claim. Nepal is a sovereign nation with its own constitution and government, and no such merger is planned or possible.",0,nepal_fake_manual
India Secretly Poisoning Nepal Rivers to Destroy Agriculture,"A message circulating on WhatsApp claims that India is secretly adding chemicals to rivers flowing from India to Nepal to destroy Nepali agriculture. Environmental scientists and government officials have denied this claim, calling it dangerous misinformation designed to damage Nepal-India relations.",0,nepal_fake_manual
New Law Bans All Social Media in Nepal Starting Next Week,A viral message claims that a new law will ban all social media platforms in Nepal starting next week. The Ministry of Communication has confirmed that no such law exists or is being planned. This misinformation appears designed to cause panic among social media users.,0,nepal_fake_manual
Government Plans to Confiscate All Smartphones from Citizens,Viral posts claim that the government is planning to confiscate all smartphones from citizens as part of a new surveillance program. Government officials have categorically denied this claim. No such policy exists or has been proposed in any government document or parliamentary session.,0,nepal_fake_manual
Nepal Signs Secret Deal to Give Land to China,"A viral message claims that Nepal has secretly agreed to give a large portion of its territory to China. Government officials and foreign policy experts have denied this claim. Nepal's territorial integrity is protected by the constitution, and no such agreement has been made.",0,nepal_fake_manual
All Nepali Universities to Be Shut Down Permanently,Viral posts claim that the government has decided to permanently shut down all universities in Nepal. The Ministry of Education has confirmed that no such decision has been made. This misinformation appears designed to cause panic among students and academic staff.,0,nepal_fake_manual
Government Plans to Replace Nepali Language with Hindi,"A viral message claims that the government is planning to replace the Nepali language with Hindi as the official language. Government officials have categorically denied this claim, which contradicts Nepal's constitutional provisions protecting the Nepali language and all mother tongues.",0,nepal_fake_manual
Nepal to Sell Citizenship to Foreigners for 1 Million Dollars,Viral posts claim that Nepal is planning to sell citizenship to foreigners for one million dollars. Government officials have denied this claim. Nepal's citizenship laws are governed by the constitution and cannot be changed through such a scheme without constitutional amendments.,0,nepal_fake_manual
Nepal Secretly Developing Nuclear Weapons with Pakistani Help,A viral message claims that Nepal is secretly developing nuclear weapons with assistance from Pakistan. Both governments have denied this claim. Nepal is a signatory to the Nuclear Non-Proliferation Treaty and has no nuclear weapons program. This misinformation could damage Nepal's international reputation.,0,nepal_fake_manual
Eating Rice at Night Causes Blindness,"Local residents claim eating rice at night causes blindness, but medical experts confirm this is false.",0,welfake
COVID Vaccine Contains Microchip to Track Citizens,"Viral messages claim COVID vaccines contain microchips to track people, which is completely false.",0,welfake
Nepal to Ban All Smartphones Starting Next Month,"A fake report circulates that Nepal will ban all smartphones next month, which is not true.",0,welfake
Bank Deposits Doubled Overnight for Citizens,"Social media claims bank deposits will double overnight for citizens, which is entirely false.",0,welfake
Free Gold for Students Who Share This Message,"Messages claim students will receive free gold for sharing a message, which is fake news.",0,welfake
Pokhara Airport Will Be Closed Indefinitely,"A rumor claims Pokhara Airport will close indefinitely, but this information is false.",0,welfake
Drinking Herbal Juice Cures Cancer Instantly,"A fake claim says drinking herbal juice can cure cancer instantly, which is not scientifically supported.",0,welfake
Government Pays 1 Million NPR to Every Household,"A hoax claims the government will pay 1 million NPR to every household, which is untrue.",0,welfake
Electricity Will Be Free for One Week Across Nepal,"Social media spreads fake news that electricity will be free nationwide for a week, which is false.",0,welfake
New Law Makes Facebook Usage Illegal,"A fabricated story claims Nepal has made Facebook usage illegal, which is entirely false.",0,welfake
"Shocking! Government to Give 10,000 NPR to Everyone","A viral post falsely claims the government will give 10,000 NPR to everyone in the country.",0,welfake
Nepal Police Will Track Citizens Through WhatsApp,"A rumor says Nepal Police will track citizens via WhatsApp messages, which is fake.",0,welfake
Miracle Pill Lets You Lose 10kg in One Day,"A fake advertisement claims a pill can make you lose 10kg in a single day, which is impossible.",0,welfake
Breaking: Volcano Will Erupt in Kathmandu Tomorrow,"A false alarm spreads claiming a volcano will erupt in Kathmandu tomorrow, which is untrue.",0,welfake
Aliens Land in Paris and Declare War on Croissants!,Extraterrestrials landed in Paris and threatened all bakeries. Scientists confirm this never happened.,0,welfake
World Governments Announce Daylight Savings Will Now Be 48 Hours Long,Fake reports claim daylight savings time will be extended to two full days. Meteorologists deny this.,0,welfake
Chocolate Milk Discovered to Reverse Aging,A viral post claims drinking chocolate milk reverses aging. Medical experts confirm this is impossible.,0,welfake
Cats Elected as Mayor of Tokyo,A hoax claims cats have been elected mayor in Tokyo. Authorities confirm this is false.,0,welfake
"Gravity to Be Reversed Next Monday, Says Fake Scientific Study",A viral post claims gravity will reverse next week. Physicists confirm this is false.,0,welfake
Humans Will Communicate Only Through Dance Starting 2026,A fake news post claims spoken language will be banned in favor of dance. Linguists deny this.,0,welfake
"Moon Made of Cheese, NASA Admits",A viral hoax claims NASA confirmed the moon is made of cheese. NASA denies this.,0,welfake
Trees Will Start Walking Around Cities Next Year,Fake news claims trees will develop legs and walk. Botanists confirm this is false.,0,welfake
Water Will Turn Into Coca-Cola on Fridays,A viral post claims all water will turn into Coca-Cola every Friday. Scientists confirm this is impossible.,0,welfake
Dogs Now Legally Allowed to Vote in USA,A hoax claims dogs have voting rights. Government officials confirm this is false.,0,welfake
Mount Everest to Be Moved to London,A fake post claims Mount Everest will be relocated. Geologists deny this.,0,welfake
"Internet Will Be Free for Life, Says Fake Announcement",A viral hoax claims global free internet is guaranteed for life. No government confirms this.,0,welfake
"Sharks Learn to Fly, Start Attacking Airplanes",Fake post claims sharks have learned to fly. Marine biologists confirm this is impossible.,0,welfake
Pizza Now a Legal Currency in Italy,A hoax claims pizza is accepted as legal tender. Economists confirm this is false.,0,welfake
Sun Will Rise in the West Starting Tomorrow,A viral post claims the sun will rise from the west. Astronomers confirm this is false.,0,welfake
Elephants to Replace All Public Buses in India,Fake news claims elephants will be used as buses. Transportation authorities deny this.,0,welfake
Humans Can Breathe Underwater Starting 2025,A viral post claims humans will develop gills. Medical experts confirm this is false.,0,welfake
Aliens Are Hosting Reality TV in Antarctica,A hoax claims aliens film a reality show in Antarctica. Scientists confirm this is false.,0,welfake
Coffee Found to Cure Common Cold Instantly,Fake news claims coffee can cure cold in seconds. Doctors deny this.,0,welfake
"Dogs Can Now Speak English, Experts Claim",A viral post claims dogs learned to speak English. Animal behaviorists confirm this is false.,0,welfake
Rain Will Be Replaced by Chocolate Syrup in New York,A hoax claims chocolate syrup will replace rain. Meteorologists confirm this is false.,0,welfake
"All Cars Will Fly Starting 2024, Fake Report Says",A viral post claims flying cars will become mandatory. Transportation experts deny this.,0,welfake
Statues Will Come Alive at Night in Paris,Fake news claims statues animate at night. Authorities confirm this is false.,0,welfake
Aliens Will Take Over Earth Next Month,A hoax claims alien invasion is imminent. NASA and world leaders deny this.,0,welfake
Watermelons Will Start Growing On Mars,A viral post claims Mars now grows watermelons. Scientists confirm this is false.,0,welfake
Dinosaurs Cloned and Released in New Zealand,Fake news claims dinosaurs returned. Paleontologists deny this.,0,welfake
Chocolate Rain Forecasted Across Europe,A hoax predicts chocolate will rain across Europe. Meteorologists confirm false.,0,welfake
Moon Will Have Its Own Internet Soon,Fake post claims moon gets Wi-Fi. NASA confirms false.,0,welfake
Unicorns Spotted in Himalayas,A viral post claims unicorns seen in Himalayas. Zoologists confirm false.,0,welfake
Lions to Replace All Police in Africa,A hoax claims lions will become police. Authorities deny this.,0,welfake
Chocolate Found to Make You Invisible,Fake news claims chocolate makes humans invisible. Scientists deny.,0,welfake
"Rainbows Will Become Edible, Scientists Fake Claim",A viral post claims rainbow can be eaten. Scientists confirm false.,0,welfake
"Cars Will Now Run on Air, Says Hoax",A hoax claims cars will run on air alone. Engineers deny this.,0,welfake
Global Warming Reversed by Singing National Anthem,Fake post claims singing reverses global warming. Environmental scientists deny.,0,welfake
Mount Everest to Be Turned Into Theme Park,A viral hoax claims Mount Everest will become a theme park. Authorities deny.,0,welfake
Gold Will Grow on Trees in Amazon,Fake news claims gold trees discovered. Botanists confirm false.,0,welfake
Cats Will Replace Politicians in USA,A hoax claims cats elected to congress. Authorities deny.,0,welfake
Dogs to Govern UK Starting Next Year,Fake post claims dogs become rulers of UK. Government denies.,0,welfake
"Ice Cream Will Melt the Moon, Scientists Fake Say",Viral hoax claims ice cream melts moon. Astronomers confirm false.,0,welfake
All Humans Will Develop Superpowers by 2030,Fake news claims humans get superpowers. Scientists deny.,0,welfake
Trees Will Sing Songs in Forests,A viral post claims trees will sing. Botanists confirm false.,0,welfake
Pandas Will Start Driving Cars in China,Fake news claims pandas driving cars. Authorities deny.,0,welfake
Chocolate Will Cure All Diseases,A hoax claims chocolate cures every disease. Doctors deny.,0,welfake
Aliens Have Already Settled in Antarctica,Fake post claims aliens live in Antarctica. Scientists deny.,0,welfake
"Humans Can Teleport Using Mobile Phones, Says Hoax",A viral post claims teleportation via phone. Scientists confirm false.,0,welfake
Mars Will Become Habitable by Next Week,Fake post claims Mars habitable soon. Scientists deny.,0,welfake
Dinosaurs Will Replace Dogs as Pets,A hoax claims dinosaurs are pets. Experts deny.,0,welfake
Hyenas Enter Rangeli Town from India Border,"Viral photos on Facebook claim a group of spotted hyenas crossed into Rangeli municipality from India, causing panic. Forest officials confirmed no such sighting occurred; images were old or fabricated.",0,nepal_fake_2026
35 Skeletons Found in Bhatbhateni Superstore During Protests,Social media rumors during Gen Z protests claimed over 35 skeletons discovered at Bhatbhateni in Kathmandu. Police recovered only 6 bodies; claim exaggerated to spread fear.,0,genz_protest_2025
32 Protesters Dead Inside Parliament Building,Viral messages claimed 32 missing protesters found dead in Parliament during September unrest. No evidence; official reports show no such discovery.,0,genz_protest_2025
"Army Takes Control, Military Coup Underway in Kathmandu",Posts and videos claim Nepal Army seized power and imposed curfew during Gen Z protests. Army denied; normal operations continued.,0,genz_protest_2025
Protesters Vandalize Pashupatinath Temple,Viral old video from Vatsaleshwori Jatra shared as recent protest damage to Pashupatinath. Fact-check shows footage months old; no vandalism occurred.,0,nepalfactcheck_2025
PM Oli Flees Country via Dubai Amid Protests,Video of air hostess claims former PM Oli escaped to Dubai during unrest. Completely false; Oli remained in Nepal.,0,genz_protest_2025
Finance Minister Beaten and Dragged into River by Protesters,Fake video misidentified foreign man as Finance Minister Bishnu Poudel being attacked. Minister safe; video unrelated.,0,techpana_factcheck_2025
Ex-PM's Wife Burnt Alive in Parliament Fire,Rumor claimed wife of former PM Jhala Nath Khanal died in parliament fire. She is alive; claim baseless.,0,genz_protest_2025
Pro-Monarchy Protesters Demand Hindu Rashtra During Gen Z Uprising,"False reports claim protests aimed to restore monarchy and Hindu state. Movement focused on corruption and inequality, not religion.",0,dainik_jagran_misinfo_2025
Nepo Babies Exposed: Politicians' Kids Flaunt Luxury While Youth Suffer,"Twisted viral videos claim politicians' children stole public funds for luxury. While inequality highlighted, specific theft claims unproven and exaggerated.",0,nepo_babies_2025
Deepfake Video Shows Mayor Balen Shah in Scandalous Act,AI-manipulated video of Kathmandu Mayor Balendra Shah in fabricated scenario goes viral. Original audio/video unrelated; deepfake confirmed.,0,deepfake_nepal_2025
Indian Videos Passed Off as Nepal Protest Violence,Old clips from Maldives/Sikkim/Karnataka shared as Kathmandu clashes during Gen Z protests. Fact-checks confirm misattribution.,0,genz_misinfo_2025
"Army Vehicles Deployed for Coup, Not Security",Videos of army trucks claimed as evidence of military takeover. Vehicles routine; no coup occurred.,0,genz_protest_2025
Politicians Fleeing Nepal After Protests Begin,Rumors claim leaders escaping abroad. All key figures remained; baseless panic spread.,0,genz_protest_2025
Sudan Gurung from Hami Nepal is Indian Citizen,Fake claim during protests that activist Sudan Gurung holds Indian citizenship. He is Nepali; rumor to discredit movement.,0,genz_misinfo_2025
AI Photos Show Massive Fires and Burn Victims in Kathmandu,Generated images exaggerate protest violence with fake burn victims and fires. No such scale of destruction reported.,0,genz_protest_2025
TikTok Videos Claim Protests Demand Restoration of Monarchy,Misinformation twists anti-corruption protests into pro-monarchy demands. No evidence of such agenda.,0,protest_misinfo_2025
Fake Job Scam: Government Hiring via WhatsApp Links,Viral messages promise high-paying government jobs requiring registration fees via WhatsApp. Scam; no official process.,0,nepal_scam_2025
Crypto Investment Fraud Circulating on Facebook,Posts promise huge returns on crypto via Nepali groups. Victims lose money; typical Ponzi scheme.,0,nepal_scam_2025
False Claim: TikTok Ban Lifted Due to Secret Deal,Rumor after 2024 lift claims government received bribes. Ban lifted after compliance; no deal evidence.,0,tiktok_ban_2025
